Name,CMP,MarCap_Cr,Assets_Cr,BookValue,Sales_Cr,PAT_12M_Cr,Investments_Cr,Capital_Employed_Cr,ROCE,ROE,ROA_12M,DebtoverEq,CFOpr5Yrs_Cr,CFOperations_Cr,Free_Cash_Flow_Cr,Export,FII_Hold,OPM,Sales_3Yrs,Profit_3Yrs,3Yrs_stock_return,Dep_Cr,Interest_Cr
Alembic Pharma,580.05,11401.64,7098.67,260.47,1475.01,266.16,117.72,5823.04,10.93,10.06,7.49,0.15,3589.25,552.35,128.09,0.00,5.32,11.97,10.48,-3.75,2.03,286.79,17.73
C D S L,1087.65,11365.94,1388.67,102.92,148.95,299.30,1001.90,681.72,41.45,31.57,25.87,0.00,722.23,282.50,257.48,0.00,,62.20,41.10,39.96,69.07,11.46,0.08
Aegis Logistics,321.25,11275.88,6400.89,94.94,2150.52,393.28,111.52,5192.31,17.37,17.38,11.00,0.46,1598.49,262.87,-130.28,0.00,15.46,7.08,-6.23,17.33,22.91,79.36,21.75
Aster DM Health.,225.40,11259.02,13646.35,83.01,2816.30,489.36,43.54,10070.20,11.58,15.97,4.97,1.27,5244.10,1313.46,769.55,0.00,11.77,13.52,8.79,2.17,13.38,640.58,306.85
V-Guard Industri,260.70,11256.31,2080.48,33.60,980.66,240.27,232.57,1364.81,21.75,17.42,11.56,0.06,533.89,-34.79,-112.15,0.00,12.92,8.69,10.63,11.10,7.18,47.50,7.52
KIOCL,184.95,11240.36,2421.66,32.08,154.47,-18.19,242.61,2121.56,19.35,15.18,12.09,0.06,-80.73,69.92,-220.44,0.00,0.00,-1.23,16.78,42.44,18.23,31.18,12.40
Century Plyboard,502.50,11164.19,2385.43,77.03,908.60,368.84,0.21,1882.15,29.75,22.18,15.50,0.15,1617.25,276.18,18.58,0.00,6.96,16.24,9.90,27.74,46.29,74.28,11.43
G R Infraproject,1149.05,11110.05,12463.66,574.13,2136.36,1164.09,48.89,5368.77,16.33,18.92,7.64,0.95,-1190.00,148.01,-274.65,0.00,0.63,23.56,16.99,5.39,,281.63,420.26
Kalyan Jewellers,107.70,11093.67,9699.73,32.16,3472.91,420.26,2.60,7160.06,9.36,7.51,2.51,1.21,,245.00,154.19,0.00,2.75,8.00,3.45,293.82,,231.58,360.37
Jindal Stain.,207.55,10906.66,15442.80,107.90,5604.51,1644.18,641.60,8918.23,37.58,45.11,14.91,0.65,6442.48,1083.23,324.52,0.00,12.71,10.92,16.11,136.51,77.20,371.20,332.31
TTK Prestige,778.55,10791.79,2502.70,129.55,842.35,307.86,213.56,1862.65,24.48,18.85,13.69,0.05,1056.93,294.20,252.97,0.00,8.79,14.89,8.92,16.59,11.34,44.15,6.83
Chola Financial,572.35,10746.48,109844.06,366.82,4298.42,1103.96,15002.89,-7599.16,10.18,17.29,2.40,11.51,-32948.22,-5738.48,-5873.96,0.00,11.76,50.38,10.26,13.66,4.82,154.16,4327.87
NLC India,77.40,10732.57,51604.98,107.85,3489.28,1582.61,7.42,43101.41,8.03,5.49,1.51,1.48,19959.53,7769.64,6855.96,0.00,1.16,34.62,6.93,-20.63,13.35,1908.72,983.78
Suzlon Energy,9.00,10637.78,5893.42,-0.25,1437.75,-103.05,0.03,2590.08,22.30,,-1.00,,2060.66,1301.90,1226.08,5.63,6.94,12.84,9.42,25.12,69.75,259.84,734.52
Cams Services,2169.05,10626.96,980.66,136.51,231.98,272.25,481.11,544.72,62.91,54.31,33.52,0.11,1057.61,305.94,246.21,0.00,33.21,44.42,9.87,38.35,,47.40,6.62
UTI AMC,829.85,10536.26,3936.20,287.50,435.79,475.34,3034.97,586.29,19.52,15.58,14.00,0.00,1121.60,348.98,311.12,0.00,6.25,47.91,7.89,15.37,,36.82,9.18
Angel One,1245.60,10384.24,9424.62,226.42,716.73,764.43,97.29,3412.80,35.48,46.03,10.39,1.61,-616.80,557.55,488.46,0.00,11.27,39.96,43.37,98.57,,18.64,75.98
Finolex Inds.,166.85,10352.66,4717.89,61.77,941.13,386.03,2382.05,2538.00,27.40,21.88,16.03,0.01,2398.66,621.99,918.21,0.00,5.59,10.35,14.56,27.83,15.36,83.40,14.09
Amara Raja Batt.,603.40,10306.83,6934.88,292.03,2699.46,576.81,492.66,4939.72,15.60,11.59,8.34,0.02,3474.89,632.95,-126.80,0.00,18.47,11.40,8.58,1.74,-5.31,395.72,15.10
Aether Industri.,818.35,10189.33,1342.75,96.62,140.15,109.24,0.26,1222.77,29.96,38.73,17.78,0.03,,-5.44,-157.18,64.59,1.49,26.82,43.14,66.99,,15.49,13.12
Sundaram Clayton,5004.65,10125.45,35225.24,2689.20,8962.55,641.95,818.34,18254.43,11.66,11.16,3.11,3.62,-260.85,-1548.12,-2568.20,0.00,1.23,12.47,5.90,0.93,34.50,844.58,985.13
